la_code,la_name,2G premises (outdoor): no reliable signal by LA (%),2G premises (outdoor): signal from 1 operator by LA (%),2G premises (outdoor): signal from 2 operators by LA (%),2G premises (outdoor): signal from all operators by LA (%),2G premises (indoor): no reliable signal by LA (%),2G premises (indoor): signal from 1 operator by LA (%),2G premises (indoor): signal from 2 operators by LA (%),2G premises (indoor): signal from all operators by LA (%),2G geographic (outdoor): no reliable signal by LA (%),2G geographic (outdoor): signal from 1 operator by LA (%),2G geographic (outdoor): signal from 2 operators by LA (%),2G geographic (outdoor): signal from all operators by LA (%),2G geographic (indoor): no reliable signal by LA (%),2G geographic (indoor): signal from 1 operator by LA (%),2G geographic (indoor): signal from 2 operators by LA (%),2G geographic (indoor): signal from all operators by LA (%),2G roads: no reliable signal by LA (%),2G roads: signal from 1 operator by LA (%),2G roads: signal from 2 operators by LA (%),2G roads: signal from all operators by LA (%),2G motorways: no reliable signal by LA (%),2G motorways: signal from 1 operator by LA (%),2G motorways: signal from 2 operators by LA (%),2G motorways: signal from all operators by LA (%),3G premises (outdoor): no reliable signal by LA (%),3G premises (outdoor): signal from 1 operator by LA (%),3G premises (outdoor): signal from 2 operators by LA (%),3G premises (outdoor): signal from 3 operators by LA (%),3G premises (outdoor): signal from all operators by LA (%),3G premises (indoor): no reliable signal by LA (%),3G premises (indoor): signal from 1 operator by LA (%),3G premises (indoor): signal from 2 operators by LA (%),3G premises (indoor): signal from 3 operators by LA (%),3G premises (indoor): signal from all operators by LA (%),3G geographic (outdoor): no reliable signal by LA (%),3G geographic (outdoor): signal from 1 operator by LA (%),3G geographic (outdoor): signal from 2 operators by LA (%),3G geographic (outdoor): signal from 3 operators by LA (%),3G geographic (outdoor): signal from all operators by LA (%),3G geographic (indoor): no reliable signal by LA (%),3G geographic (indoor): signal from 1 operator by LA (%),3G geographic (indoor): signal from 2 operators by LA (%),3G geographic (indoor): signal from 3 operators by LA (%),3G geographic (indoor): signal from all operators by LA (%),3G roads: no reliable signal by LA (%),3G roads: signal from 1 operator by LA (%),3G roads: signal from 2 operators by LA (%),3G roads: signal from 3 operators by LA (%),3G roads: signal from all operators by LA (%),3G motorways: no reliable signal by LA (%),3G motorways: signal from 1 operator by LA (%),3G motorways: signal from 2 operators by LA (%),3G motorways: signal from 3 operators by LA (%),3G motorways: signal from all operators by LA (%),4G premises (outdoor): no reliable signal by LA (%),4G premises (outdoor): signal from 1 operator by LA (%),4G premises (outdoor): signal from 2 operators by LA (%),4G premises (outdoor): signal from 3 operators by LA (%),4G premises (outdoor): signal from all operators by LA (%),4G premises (indoor): no reliable signal by LA (%),4G premises (indoor): signal from 1 operator by LA (%),4G premises (indoor): signal from 2 operators by LA (%),4G premises (indoor): signal from 3 operators by LA (%),4G premises (indoor): signal from all operators by LA (%),4G geographic (outdoor): no reliable signal by LA (%),4G geographic (outdoor): signal from 1 operator by LA (%),4G geographic (outdoor): signal from 2 operators by LA (%),4G geographic (outdoor): signal from 3 operators by LA (%),4G geographic (outdoor): signal from all operators by LA (%),4G geographic (indoor): no reliable signal by LA (%),4G geographic (indoor): signal from 1 operator by LA (%),4G geographic (indoor): signal from 2 operators by LA (%),4G geographic (indoor): signal from 3 operators by LA (%),4G geographic (indoor): signal from all operators by LA (%),4G roads: no reliable signal by LA (%),4G roads: signal from 1 operator by LA (%),4G roads: signal from 2 operators by LA (%),4G roads: signal from 3 operators by LA (%),4G roads: signal from all operators by LA (%),4G motorways: no reliable signal by LA (%),4G motorways: signal from 1 operator by LA (%),4G motorways: signal from 2 operators by LA (%),4G motorways: signal from 3 operators by LA (%),4G motorways: signal from all operators by LA (%)
00-PT,Caerdydd - Cardiff,0.00%,0.12%,0.58%,99.30%,0.48%,2.52%,13.27%,83.73%,0.03%,0.40%,3.75%,95.82%,2.14%,6.16%,21.10%,70.60%,2.14%,6.16%,21.10%,70.60%,0.00%,1.84%,21.66%,76.50%,0.00%,0.00%,0.04%,0.16%,99.80%,0.02%,0.11%,1.41%,4.07%,94.39%,0.00%,0.08%,0.74%,2.02%,97.16%,0.57%,1.28%,4.01%,12.76%,81.37%,0.00%,0.08%,0.98%,8.57%,90.38%,0.00%,0.00%,0.00%,14.29%,85.71%,0.00%,0.00%,0.46%,1.18%,98.36%,0.00%,0.11%,2.13%,12.20%,85.56%,0.01%,0.25%,2.29%,4.82%,92.63%,0.18%,0.86%,12.37%,15.38%,71.21%,0.00%,0.15%,6.69%,13.23%,79.92%,0.00%,0.46%,30.88%,14.29%,54.38%
00-NU,Sir Gaerfyrddin - Carmarthenshire,4.45%,8.79%,13.80%,72.96%,13.97%,22.04%,29.21%,34.77%,16.75%,18.27%,24.33%,40.65%,40.38%,27.15%,19.48%,12.99%,40.38%,27.15%,19.48%,12.99%,0.00%,0.00%,8.77%,91.23%,2.45%,3.55%,15.08%,14.60%,64.32%,7.45%,10.19%,21.48%,19.60%,41.28%,12.03%,11.50%,24.02%,24.98%,27.47%,27.52%,20.11%,29.31%,14.45%,8.60%,14.71%,17.47%,36.16%,15.98%,15.68%,0.00%,7.02%,8.77%,36.84%,47.37%,9.50%,23.34%,18.63%,11.32%,37.21%,20.41%,30.35%,15.68%,11.96%,21.60%,25.65%,33.06%,21.68%,10.70%,8.92%,43.97%,33.41%,15.57%,4.47%,2.59%,35.43%,35.25%,17.26%,6.57%,5.48%,0.00%,3.51%,45.61%,31.58%,19.30%
95-BCDE,Causeway Coast And Glens,0.96%,2.54%,12.45%,84.04%,10.66%,15.17%,35.16%,39.01%,5.03%,11.64%,17.45%,65.88%,29.78%,26.17%,23.02%,21.03%,29.78%,26.17%,23.02%,21.03%,0.00%,0.00%,7.89%,92.11%,0.11%,0.30%,3.54%,11.99%,84.07%,2.04%,5.24%,18.15%,22.64%,51.93%,3.77%,2.99%,5.85%,16.59%,70.80%,10.49%,10.23%,19.79%,27.68%,31.81%,6.14%,7.33%,17.79%,29.80%,38.94%,0.00%,0.00%,0.00%,55.26%,44.74%,0.19%,7.44%,4.40%,11.15%,76.82%,2.39%,15.18%,12.81%,19.38%,50.24%,5.31%,8.39%,6.49%,17.15%,62.66%,12.48%,17.38%,17.42%,26.40%,26.32%,6.92%,16.69%,15.74%,29.75%,30.90%,0.00%,0.00%,0.00%,0.00%,100.00%
00-KC,Central Bedfordshire,0.05%,0.64%,2.96%,96.35%,3.15%,7.51%,25.55%,63.79%,0.27%,1.45%,7.48%,90.80%,7.76%,14.32%,24.88%,53.04%,7.76%,14.32%,24.88%,53.04%,0.00%,0.30%,5.36%,94.35%,0.00%,0.01%,0.25%,2.89%,96.84%,0.53%,1.53%,5.88%,18.29%,73.77%,0.03%,0.18%,0.89%,6.02%,92.89%,2.05%,5.37%,11.39%,26.65%,54.53%,1.44%,3.50%,9.69%,24.25%,61.13%,0.00%,0.00%,0.00%,10.42%,89.58%,0.11%,1.11%,0.73%,7.15%,90.90%,2.37%,3.85%,11.85%,32.63%,49.29%,0.02%,0.44%,1.30%,6.36%,91.89%,1.98%,7.25%,15.45%,24.48%,50.84%,2.06%,6.56%,11.75%,24.28%,55.34%,0.00%,0.60%,1.49%,18.75%,79.17%
00-NQ,Sir Ceredigion - Ceredigion,9.98%,13.57%,37.00%,39.46%,26.32%,23.60%,37.43%,12.65%,31.60%,21.75%,26.63%,20.01%,58.38%,20.23%,15.97%,5.42%,58.38%,20.23%,15.97%,5.42%,,,,,7.79%,11.27%,36.59%,15.50%,28.84%,20.75%,14.91%,37.01%,8.44%,18.89%,25.28%,17.22%,28.57%,17.16%,11.77%,47.17%,19.56%,23.12%,6.73%,3.41%,29.77%,22.79%,32.94%,8.58%,5.93%,,,,,,24.99%,42.54%,8.48%,10.34%,13.64%,38.91%,36.80%,10.09%,10.81%,3.39%,47.38%,39.79%,6.24%,4.94%,1.65%,64.88%,29.87%,2.99%,1.97%,0.28%,49.99%,41.37%,4.80%,3.17%,0.66%,,,,,
00-EQ,Cheshire East,0.28%,0.45%,4.90%,94.38%,2.46%,11.47%,33.76%,52.31%,2.38%,3.01%,12.70%,81.91%,13.17%,20.52%,32.60%,33.71%,13.17%,20.52%,32.60%,33.71%,0.00%,0.36%,15.06%,84.57%,0.12%,0.20%,0.59%,2.49%,96.59%,1.32%,1.80%,6.69%,13.17%,77.01%,0.90%,1.31%,3.63%,9.69%,84.45%,6.62%,9.34%,16.33%,25.88%,41.83%,3.07%,7.07%,14.60%,25.37%,49.89%,0.00%,0.00%,3.45%,10.34%,86.21%,0.18%,0.54%,1.13%,3.65%,94.50%,2.10%,2.44%,5.25%,24.68%,65.53%,2.29%,3.02%,7.94%,12.33%,74.42%,11.54%,16.04%,17.57%,17.46%,37.39%,9.79%,11.96%,12.81%,19.66%,45.78%,0.00%,3.63%,18.15%,17.60%,60.62%
00-EW,Cheshire West and Chester,0.13%,0.75%,6.24%,92.88%,2.88%,9.72%,34.00%,53.41%,0.68%,2.71%,15.08%,81.52%,12.87%,19.16%,32.68%,35.29%,12.87%,19.16%,32.68%,35.29%,0.00%,0.59%,31.56%,67.85%,0.02%,0.12%,0.26%,2.30%,97.29%,0.56%,1.86%,5.82%,17.62%,74.14%,0.16%,0.49%,1.70%,7.14%,90.52%,2.48%,5.87%,14.89%,29.78%,46.99%,1.63%,3.95%,10.57%,28.34%,55.51%,0.00%,0.00%,0.00%,12.03%,87.97%,0.10%,0.91%,1.77%,5.64%,91.58%,2.42%,5.77%,7.85%,26.02%,57.94%,0.48%,2.15%,6.62%,14.84%,75.90%,3.36%,14.87%,19.81%,23.43%,38.53%,3.01%,11.47%,14.80%,25.01%,45.70%,0.00%,0.00%,0.39%,11.05%,88.56%
00-HB,City of Bristol,0.00%,0.00%,0.14%,99.86%,0.08%,0.73%,14.12%,85.07%,0.00%,0.06%,0.81%,99.13%,0.47%,1.55%,14.48%,83.50%,0.47%,1.55%,14.48%,83.50%,0.00%,0.00%,10.56%,89.44%,0.00%,0.00%,0.00%,0.06%,99.94%,0.00%,0.00%,0.22%,5.43%,94.35%,0.00%,0.00%,0.03%,0.48%,99.50%,0.00%,0.04%,0.88%,8.66%,90.42%,0.00%,0.06%,0.96%,5.70%,93.28%,0.00%,0.00%,0.00%,3.11%,96.89%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.11%,3.04%,96.85%,0.00%,0.00%,0.00%,0.23%,99.77%,0.00%,0.04%,0.44%,4.27%,95.25%,0.00%,0.06%,0.54%,3.60%,95.80%,0.00%,0.00%,0.00%,0.00%,100.00%
00-FK,City of Derby,0.00%,0.00%,0.02%,99.98%,0.00%,0.86%,11.21%,87.93%,0.00%,0.00%,0.01%,99.99%,0.01%,0.61%,9.93%,89.45%,0.01%,0.61%,9.93%,89.45%,,,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.82%,98.18%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.05%,4.30%,95.65%,0.00%,0.00%,0.00%,2.83%,97.17%,,,,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.64%,99.36%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.01%,1.11%,98.88%,0.00%,0.00%,0.00%,0.45%,99.55%,,,,,
00-QP,City of Edinburgh,0.00%,0.00%,0.33%,99.67%,0.04%,0.40%,7.36%,92.20%,0.54%,0.94%,3.67%,94.85%,4.97%,5.51%,15.04%,74.47%,4.97%,5.51%,15.04%,74.47%,0.98%,0.00%,12.25%,86.76%,0.00%,0.00%,0.00%,0.10%,99.90%,0.00%,0.00%,0.24%,2.60%,97.16%,0.00%,0.02%,0.65%,4.10%,95.23%,0.63%,1.38%,4.90%,18.14%,74.96%,0.00%,0.00%,0.22%,7.91%,91.88%,0.00%,0.00%,0.98%,14.22%,84.80%,0.00%,0.00%,0.08%,0.57%,99.35%,0.00%,0.00%,1.18%,1.01%,97.81%,0.00%,0.02%,1.14%,2.39%,96.45%,0.77%,1.50%,6.29%,6.75%,84.68%,0.00%,0.00%,2.02%,2.94%,95.04%,0.00%,0.00%,0.00%,1.96%,98.04%
00-FA,City of Kingston upon Hull,0.00%,0.00%,0.01%,99.99%,0.00%,0.02%,11.95%,88.03%,0.00%,0.00%,0.71%,99.29%,0.00%,0.01%,14.00%,85.98%,0.00%,0.01%,14.00%,85.98%,,,,,0.00%,0.00%,0.00%,0.06%,99.94%,0.00%,0.00%,0.79%,3.78%,95.43%,0.00%,0.00%,0.01%,0.21%,99.78%,0.00%,0.00%,1.87%,5.24%,92.89%,0.00%,0.00%,1.54%,4.16%,94.30%,,,,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.65%,99.35%,0.00%,0.00%,0.00%,0.01%,99.99%,0.00%,0.00%,0.00%,1.57%,98.43%,0.00%,0.00%,0.00%,1.85%,98.15%,,,,,
00-FN,City of Leicester,0.00%,0.00%,0.01%,99.99%,0.00%,0.14%,12.66%,87.20%,0.00%,0.00%,0.01%,99.99%,0.00%,0.26%,11.35%,88.39%,0.00%,0.26%,11.35%,88.39%,,,,,0.00%,0.00%,0.00%,0.05%,99.95%,0.00%,0.00%,0.01%,3.65%,96.33%,0.00%,0.00%,0.00%,0.07%,99.93%,0.00%,0.00%,0.01%,5.92%,94.07%,0.00%,0.00%,0.00%,4.92%,95.08%,,,,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.04%,99.96%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.40%,99.60%,0.00%,0.00%,0.00%,0.49%,99.51%,,,,,
00-FY,City of Nottingham,0.00%,0.00%,0.33%,99.67%,0.00%,0.12%,8.72%,91.16%,0.00%,0.00%,0.50%,99.50%,0.00%,0.16%,8.77%,91.06%,0.00%,0.16%,8.77%,91.06%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,1.57%,3.50%,94.93%,0.00%,0.00%,0.00%,0.09%,99.91%,0.00%,0.00%,1.30%,5.85%,92.85%,0.00%,0.00%,1.07%,3.02%,95.91%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.70%,98.30%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.70%,98.30%,0.00%,0.00%,0.00%,0.09%,99.91%,0.00%,0.00%,0.00%,0.00%,100.00%
00-JA,City of Peterborough,0.00%,0.13%,3.81%,96.07%,1.24%,7.62%,29.05%,62.09%,0.49%,0.99%,5.96%,92.57%,13.03%,21.14%,23.79%,42.04%,13.03%,21.14%,23.79%,42.04%,0.00%,0.00%,18.18%,81.82%,0.00%,0.00%,0.30%,2.17%,97.52%,0.28%,0.76%,6.06%,15.97%,76.93%,0.00%,0.01%,0.54%,5.02%,94.44%,0.75%,3.64%,10.32%,37.56%,47.74%,0.29%,2.14%,8.56%,31.34%,57.66%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.14%,0.99%,2.14%,96.73%,1.32%,1.24%,4.47%,9.53%,83.44%,0.00%,0.30%,3.72%,9.52%,86.46%,5.48%,13.12%,12.83%,20.48%,48.09%,3.36%,11.63%,11.58%,17.52%,55.91%,0.00%,0.00%,0.00%,0.00%,100.00%
00-HG,City of Plymouth,0.01%,0.08%,1.73%,98.19%,0.45%,3.94%,23.94%,71.67%,0.19%,0.67%,2.78%,96.37%,1.51%,4.79%,21.03%,72.67%,1.51%,4.79%,21.03%,72.67%,,,,,0.00%,0.00%,0.00%,0.23%,99.77%,0.00%,0.06%,0.94%,5.03%,93.97%,0.00%,0.00%,0.02%,0.91%,99.06%,0.15%,0.35%,1.49%,7.03%,90.98%,0.00%,0.11%,0.34%,3.06%,96.48%,,,,,,0.00%,0.00%,0.01%,1.63%,98.36%,0.01%,0.13%,5.70%,15.63%,78.54%,0.00%,0.05%,0.15%,2.40%,97.41%,0.09%,0.63%,6.25%,16.96%,76.08%,0.00%,0.57%,4.31%,10.10%,85.02%,,,,,
00-MR,City of Portsmouth,0.00%,0.00%,0.48%,99.52%,0.00%,0.16%,20.19%,79.66%,0.00%,0.00%,0.28%,99.72%,0.00%,0.23%,16.03%,83.73%,0.00%,0.23%,16.03%,83.73%,0.00%,1.06%,8.51%,90.43%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.52%,8.98%,90.50%,0.00%,0.00%,0.00%,0.05%,99.95%,0.00%,0.00%,0.40%,11.15%,88.45%,0.00%,0.00%,0.00%,6.73%,93.27%,0.00%,0.00%,2.13%,10.64%,87.23%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,3.47%,96.53%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.82%,97.18%,0.00%,0.00%,0.00%,5.08%,94.92%,0.00%,0.00%,0.00%,0.00%,100.00%
00-MS,City of Southampton,0.00%,0.00%,0.08%,99.92%,0.01%,0.74%,15.32%,83.93%,0.00%,0.00%,0.10%,99.90%,0.02%,1.27%,15.13%,83.58%,0.02%,1.27%,15.13%,83.58%,0.00%,0.00%,8.82%,91.18%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.63%,3.15%,96.22%,0.00%,0.00%,0.00%,0.12%,99.88%,0.00%,0.00%,0.60%,4.24%,95.16%,0.00%,0.00%,0.16%,1.57%,98.27%,0.00%,0.00%,0.00%,11.76%,88.24%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.17%,99.83%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.31%,99.69%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
00-GL,City of Stoke-on-Trent,0.00%,0.02%,0.86%,99.12%,0.45%,4.82%,28.78%,65.95%,0.00%,0.21%,2.21%,97.57%,0.37%,5.20%,26.47%,67.96%,0.37%,5.20%,26.47%,67.96%,,,,,0.00%,0.00%,0.00%,0.64%,99.36%,0.00%,0.00%,1.96%,12.51%,85.53%,0.00%,0.00%,0.00%,1.28%,98.72%,0.00%,0.02%,1.86%,14.55%,83.57%,0.00%,0.00%,1.28%,13.20%,85.51%,,,,,,0.00%,0.00%,0.00%,0.80%,99.20%,0.00%,0.04%,2.02%,13.60%,84.34%,0.00%,0.00%,0.00%,0.86%,99.14%,0.00%,0.07%,1.84%,12.15%,85.93%,0.00%,0.21%,1.36%,11.42%,87.01%,,,,,
00-CW,City of Wolverhampton District,0.00%,0.00%,0.24%,99.76%,0.00%,0.36%,14.94%,84.70%,0.00%,0.00%,0.17%,99.83%,0.00%,0.53%,14.11%,85.36%,0.00%,0.53%,14.11%,85.36%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.42%,4.81%,94.77%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.39%,4.90%,94.72%,0.00%,0.00%,0.00%,4.13%,95.87%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.89%,99.11%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.17%,98.83%,0.00%,0.00%,0.00%,0.34%,99.66%,0.00%,0.00%,0.00%,0.00%,100.00%
00-QF,Clackmannanshire,0.00%,0.03%,4.33%,95.64%,0.72%,13.97%,37.05%,48.26%,3.00%,5.19%,14.68%,77.12%,17.25%,21.03%,28.47%,33.25%,17.25%,21.03%,28.47%,33.25%,,,,,0.00%,0.06%,0.76%,10.51%,88.68%,0.18%,0.99%,17.33%,31.70%,49.79%,0.66%,1.50%,5.91%,16.16%,75.78%,6.04%,10.27%,22.47%,22.79%,38.43%,4.60%,8.38%,23.21%,24.34%,39.47%,,,,,,13.24%,5.91%,8.57%,26.85%,45.43%,34.61%,22.74%,22.30%,16.94%,3.42%,9.53%,8.78%,14.26%,26.87%,40.56%,31.46%,21.02%,16.52%,15.22%,15.79%,46.32%,24.34%,11.96%,10.43%,6.95%,,,,,
00-NE,Conwy - Conwy,1.47%,4.63%,18.57%,75.34%,7.04%,19.89%,37.78%,35.29%,21.29%,16.33%,21.85%,40.52%,43.65%,23.88%,18.54%,13.94%,43.65%,23.88%,18.54%,13.94%,,,,,1.40%,3.36%,7.84%,20.71%,66.69%,6.51%,11.31%,18.15%,25.44%,38.59%,15.48%,15.84%,25.19%,21.72%,21.76%,37.00%,20.01%,23.09%,12.76%,7.14%,24.36%,20.37%,22.83%,15.52%,16.91%,,,,,,6.35%,8.30%,44.64%,8.14%,32.58%,10.13%,30.33%,31.23%,5.62%,22.69%,49.11%,22.49%,18.13%,4.34%,5.93%,63.47%,20.38%,11.80%,1.89%,2.45%,54.85%,18.69%,16.23%,3.50%,6.73%,,,,,
00-HE,Cornwall,2.27%,5.59%,14.07%,78.07%,11.92%,18.40%,30.72%,38.96%,5.92%,10.99%,20.54%,62.55%,23.81%,25.44%,26.39%,24.37%,23.81%,25.44%,26.39%,24.37%,,,,,0.87%,2.08%,6.76%,13.70%,76.59%,6.13%,9.07%,16.08%,20.83%,47.90%,2.46%,5.08%,11.90%,20.23%,60.33%,13.66%,17.03%,24.05%,22.91%,22.35%,6.81%,11.49%,22.55%,27.00%,32.14%,,,,,,2.52%,7.69%,15.07%,17.36%,57.37%,8.78%,18.05%,22.65%,21.35%,29.17%,5.44%,16.66%,20.90%,18.50%,38.50%,16.88%,30.60%,24.85%,12.64%,15.04%,9.75%,26.89%,28.32%,16.04%,18.99%,,,,,
00-EJ,County Durham,0.25%,0.84%,8.03%,90.88%,3.31%,8.68%,41.33%,46.68%,13.92%,10.04%,17.16%,58.89%,33.38%,17.60%,22.18%,26.84%,33.38%,17.60%,22.18%,26.84%,0.00%,0.47%,15.12%,84.42%,0.14%,0.18%,1.78%,5.92%,91.98%,0.78%,1.55%,10.48%,19.33%,67.86%,10.21%,5.59%,10.20%,13.81%,60.20%,21.74%,9.67%,17.08%,20.40%,31.11%,7.33%,4.84%,15.64%,23.83%,48.36%,0.00%,0.00%,3.26%,17.67%,79.07%,0.35%,1.10%,2.32%,9.03%,87.21%,2.08%,3.55%,9.29%,24.44%,60.64%,13.67%,12.25%,8.59%,14.90%,50.59%,24.62%,15.93%,11.69%,18.00%,29.76%,9.52%,11.18%,12.02%,22.97%,44.32%,0.00%,0.00%,0.23%,7.21%,92.56%
00-GA,County of Herefordshire,1.71%,5.45%,19.85%,72.99%,11.34%,23.60%,35.34%,29.72%,6.52%,13.80%,29.55%,50.13%,28.87%,32.97%,26.41%,11.76%,28.87%,32.97%,26.41%,11.76%,4.44%,2.22%,31.11%,62.22%,2.01%,3.20%,8.93%,16.85%,69.02%,8.63%,10.34%,13.93%,20.05%,47.05%,4.20%,8.10%,21.63%,30.80%,35.28%,17.45%,21.20%,28.93%,21.22%,11.21%,12.85%,16.24%,26.06%,25.22%,19.63%,1.11%,3.33%,7.78%,26.67%,61.11%,5.93%,20.57%,12.73%,13.55%,47.22%,19.52%,21.55%,10.52%,18.24%,30.16%,15.16%,29.85%,23.15%,16.71%,15.14%,34.14%,38.73%,15.60%,7.13%,4.41%,25.30%,39.14%,17.11%,10.32%,8.12%,3.33%,20.00%,23.33%,32.22%,21.11%
00-CQ,Coventry District,0.00%,0.00%,0.01%,99.99%,0.00%,0.18%,9.64%,90.18%,0.00%,0.00%,0.16%,99.84%,0.05%,0.81%,12.46%,86.68%,0.05%,0.81%,12.46%,86.68%,0.00%,0.00%,17.39%,82.61%,0.00%,0.00%,0.00%,0.10%,99.90%,0.00%,0.00%,0.22%,4.49%,95.30%,0.00%,0.00%,0.00%,1.16%,98.84%,0.00%,0.00%,0.44%,10.97%,88.59%,0.00%,0.00%,0.08%,7.61%,92.31%,0.00%,0.00%,0.00%,28.26%,71.74%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.01%,0.51%,99.48%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.15%,1.62%,98.22%,0.00%,0.00%,0.00%,0.39%,99.61%,0.00%,0.00%,0.00%,0.00%,100.00%
16-00,Cumbria County,1.97%,4.29%,13.44%,80.30%,11.14%,17.30%,31.88%,39.68%,17.06%,13.52%,20.52%,48.89%,44.77%,21.83%,18.41%,14.99%,44.77%,21.83%,18.41%,14.99%,0.15%,3.39%,18.57%,77.89%,2.07%,2.70%,12.45%,17.56%,65.22%,8.54%,8.75%,19.11%,18.13%,45.47%,15.47%,9.81%,19.41%,22.72%,32.58%,33.86%,17.95%,25.02%,13.93%,9.24%,20.00%,14.73%,33.23%,17.62%,14.43%,0.00%,1.11%,23.36%,20.41%,55.12%,4.48%,18.28%,27.92%,18.14%,31.18%,14.19%,25.22%,27.95%,13.47%,19.17%,23.37%,28.88%,21.26%,15.33%,11.16%,40.53%,32.91%,16.39%,6.84%,3.33%,27.86%,39.17%,22.05%,6.72%,4.20%,4.13%,26.38%,15.48%,28.52%,25.50%
00-EH,Darlington,0.01%,0.12%,1.47%,98.40%,1.47%,6.97%,31.50%,60.07%,0.14%,1.24%,5.32%,93.30%,11.44%,12.50%,25.80%,50.27%,11.44%,12.50%,25.80%,50.27%,0.00%,0.83%,5.00%,94.17%,0.00%,0.00%,0.14%,1.58%,98.27%,0.06%,0.17%,1.42%,7.83%,90.52%,0.00%,0.08%,0.86%,6.57%,92.49%,0.97%,1.58%,9.29%,31.13%,57.04%,0.00%,1.41%,8.17%,20.47%,69.95%,0.00%,0.00%,0.00%,9.17%,90.83%,0.00%,0.00%,0.02%,0.38%,99.60%,0.04%,0.12%,1.23%,9.46%,89.15%,0.01%,0.01%,0.13%,1.22%,98.64%,0.54%,0.87%,3.10%,14.28%,81.22%,0.00%,0.28%,2.54%,15.21%,81.97%,0.00%,0.00%,0.00%,9.17%,90.83%
00-NG,Sir Ddinbych - Denbighshire,1.75%,4.66%,17.06%,76.53%,8.13%,16.87%,30.01%,45.00%,13.72%,13.87%,27.91%,44.50%,33.13%,25.04%,25.23%,16.59%,33.13%,25.04%,25.23%,16.59%,,,,,1.46%,3.07%,16.04%,12.26%,67.17%,3.78%,7.16%,30.59%,32.49%,25.98%,10.75%,10.68%,37.46%,11.58%,29.52%,24.17%,15.39%,36.98%,13.15%,10.31%,12.60%,11.24%,44.52%,16.92%,14.72%,,,,,,6.82%,14.35%,23.37%,25.62%,29.83%,11.91%,25.95%,28.38%,19.55%,14.21%,32.70%,29.60%,17.87%,14.12%,5.70%,46.44%,31.17%,16.01%,4.86%,1.53%,35.03%,33.67%,20.00%,7.75%,3.56%,,,,,
17-00,Derbyshire County,0.32%,1.10%,5.75%,92.83%,3.93%,8.09%,33.40%,54.58%,4.88%,6.89%,13.00%,75.23%,17.97%,17.39%,23.37%,41.27%,17.97%,17.39%,23.37%,41.27%,0.00%,0.00%,4.57%,95.43%,0.24%,0.32%,1.62%,4.07%,93.74%,1.18%,2.10%,8.57%,17.41%,70.74%,2.55%,3.08%,6.98%,11.92%,75.46%,10.32%,7.75%,15.55%,23.85%,42.54%,6.00%,5.99%,12.72%,22.24%,53.05%,0.00%,0.00%,0.00%,9.13%,90.87%,0.32%,1.75%,7.59%,13.00%,77.35%,0.94%,5.61%,12.47%,20.34%,60.65%,4.19%,5.12%,12.08%,19.76%,58.86%,10.72%,11.53%,18.79%,23.58%,35.38%,6.44%,10.08%,17.47%,22.03%,43.98%,0.00%,0.00%,0.72%,16.35%,82.93%
